URL da vaga no linkedin;Nome da vaga;Nome da empresa contratante;URL da empresa contratante;Modelo de contratação;Tipo de contratação;Nível de experiência;Número de candidaturas para vaga;Data da postagem da vaga;Horário do scraping;Número de funcionários da empresa;Número de seguidores da empresa;Local sede da empresa;URL da candidatura
https://br.linkedin.com/jobs/view/est%C3%A1gio-social-media-at-abs-talents-3670678428?refId=nZA9X5bZYYraCfvbxcqL%2Bw%3D%3D&trackingId=GOA26wQjNxJnD0Umjg127w%3D%3D&trk=public_jobs_topcard-title;Estágio Social Media;ABS Talents;https://br.linkedin.com/company/abs-talents?trk=public_jobs_jserp-result_job-search-card-subtitle;presencial;Full-time;Internship;;25/06/2023;2023-09-16 09:21:20.577328;;;;https://www.linkedin.com/authwall?trk=qf&original_referer=https://www.linkedin.com/jobs/search?keywords=Servi%C3%A7o%2BDe%2BPublicidade%2BOR%2BMarketing%2BE%2BPublicidade&location=Brazil&geoId=106057199&f_JT=F&f_E=1&currentJobId=3670678428&position=1&pageNum&sessionRedirect=https%3A%2F%2Fwww.linkedin.com%2Fjobs%2Fview%2FexternalApply%2F3670678428%3Furl%3Dhttps%253A%252F%252Fabler%252Ein%252Fv147389%253Fsource%253Dlinkedin%26urlHash%3D0ErV%26refId%3DnZA9X5bZYYraCfvbxcqL%252Bw%253D%253D%26trackingId%3DGOA26wQjNxJnD0Umjg127w%253D%253D
https://br.linkedin.com/jobs/view/est%C3%A1gio-de-marketing-opera%C3%A7%C3%B5es-at-vigor-3697240457?refId=nZA9X5bZYYraCfvbxcqL%2Bw%3D%3D&trackingId=%2BZ6%2F4YBz8v26wONOn2Co%2Fw%3D%3D&trk=public_jobs_topcard-title;Estágio de Marketing Operações;Vigor;https://br.linkedin.com/company/vigor-alimentos?trk=public_jobs_jserp-result_job-search-card-subtitle;presencial;Full-time;Internship;;17/08/2023;2023-09-16 09:21:32.701828;;;;https://vigoralimentos.pandape.infojobs.com.br/Detail/583741?ov=6&xtor=AL-366332662&utm_source=linkedin&utm_medium=referral&utm_campaign=feed&utm_term=organic&utm_content=ats
https://br.linkedin.com/jobs/view/est%C3%A1gio-em-publicidade-social-media-at-campanha-digital-3682789965?refId=nZA9X5bZYYraCfvbxcqL%2Bw%3D%3D&trackingId=C38Xg7vadK6iDx9pSy12vQ%3D%3D&trk=public_jobs_topcard-title;Estágio em Publicidade/ Social Media;Campanha Digital;https://br.linkedin.com/company/campanha-digital?trk=public_jobs_jserp-result_job-search-card-subtitle;presencial;Full-time;Internship;;02/08/2023;2023-09-16 09:21:46.061786;;;;https://www.catho.com.br/vagas/linkedin/23741395/
https://br.linkedin.com/jobs/view/est%C3%A1gio-de-social-media-cria%C3%A7%C3%A3o-home-office-at-ag%C3%AAncia-moll-3683777482?refId=nZA9X5bZYYraCfvbxcqL%2Bw%3D%3D&trackingId=Zj49VY5qNawM1h7xcMLSUA%3D%3D&trk=public_jobs_topcard-title;Estágio de Social Media / Criação (home office);Agência MOLL;https://br.linkedin.com/company/agenciamoll?trk=public_jobs_jserp-result_job-search-card-subtitle;presencial;Full-time;Internship;;03/08/2023;2023-09-16 09:21:58.955897;;;;https://www.catho.com.br/vagas/linkedin/23740333/
https://br.linkedin.com/jobs/view/estagiaria-o-marketing-midias-sociais-2-vagas-at-admita-recursos-humanos-3630147041?refId=nZA9X5bZYYraCfvbxcqL%2Bw%3D%3D&trackingId=b2hEiWmty0jXCl1%2F8f67nw%3D%3D&trk=public_jobs_topcard-title;ESTAGIARIA(O)-MARKETING / MIDIAS SOCIAIS - 2 Vagas;Admita Recursos Humanos;https://br.linkedin.com/company/admita-recursos-humanos?trk=public_jobs_jserp-result_job-search-card-subtitle;presencial;Full-time;Internship;;19/05/2023;2023-09-16 09:22:11.776178;;;;https://www.admita.com.br/site/phpadmita/vagas_candidata.php?vg=19671
https://br.linkedin.com/jobs/view/estagi%C3%A1rio-a-em-marketing-digital-at-farmer-marketing-digital-3700422778?refId=nZA9X5bZYYraCfvbxcqL%2Bw%3D%3D&trackingId=KiyQ4i8TIc2XuE67kA7ohA%3D%3D&trk=public_jobs_topcard-title;Estagiário(a) em Marketing Digital;Farmer Marketing Digital;https://br.linkedin.com/company/farmer-marketing-digital?trk=public_jobs_jserp-result_job-search-card-subtitle;remoto;Full-time;Internship;;25/08/2023;2023-09-16 09:22:23.830824;;;;https://trampos.co/oportunidades/754178-estagiario-a-em-marketing-digital?utm_campaign=jobboard&utm_medium=site&utm_source=linkedin
https://br.linkedin.com/jobs/view/est%C3%A1gio-em-social-media-foto-at-apliqueme-3688688984?refId=nZA9X5bZYYraCfvbxcqL%2Bw%3D%3D&trackingId=oBsqNF1bUgI3YJ6aOuAh0A%3D%3D&trk=public_jobs_topcard-title;Estágio em Social Media (foto);ApliqueMe;https://br.linkedin.com/company/apliqueme?trk=public_jobs_jserp-result_job-search-card-subtitle;presencial;Full-time;Internship;;08/08/2023;2023-09-16 09:22:41.555197;;;;https://www.catho.com.br/vagas/linkedin/23793117/
https://br.linkedin.com/jobs/view/estagi%C3%A1rio-a-social-media-seg-%C3%A0-sex-das-12h-%C3%A0s-18h-at-ml-servi%C3%A7os-financeiros-3689614172?refId=nZA9X5bZYYraCfvbxcqL%2Bw%3D%3D&trackingId=ztNKOApa8oD7pIM8fNTlqw%3D%3D&trk=public_jobs_topcard-title;ESTAGIÁRIO (A) SOCIAL MEDIA -  Seg à sex, das 12h às 18h;ML Serviços Financeiros;https://br.linkedin.com/company/mlservicos?trk=public_jobs_jserp-result_job-search-card-subtitle;presencial;Full-time;Internship;;09/08/2023;2023-09-16 09:22:53.951852;;;;https://www.catho.com.br/vagas/linkedin/23804392/
https://br.linkedin.com/jobs/view/est%C3%A1gio-em-marketing-publicidade-e-propaganda-at-ag%C3%AAncia-de-viagens-e-turismo-terra-nova-lda-3686909536?refId=nZA9X5bZYYraCfvbxcqL%2Bw%3D%3D&trackingId=o%2BhL3hx2W3qYjblUGlx6EA%3D%3D&trk=public_jobs_topcard-title;Estágio em Marketing / Publicidade e Propaganda;Agência de Viagens e Turismo Terra Nova, Lda;https://www.linkedin.com/company/ag%C3%AAncia-de-viagens-e-turismo-terra-nova-lda?trk=public_jobs_jserp-result_job-search-card-subtitle;presencial;Full-time;Internship;;05/08/2023;2023-09-16 09:23:06.297972;;;;https://www.catho.com.br/vagas/linkedin/23768054/
https://br.linkedin.com/jobs/view/est%C3%A1gio-social-media-at-amplifica-digital-3623297360?refId=nZA9X5bZYYraCfvbxcqL%2Bw%3D%3D&trackingId=3EvzuhqPBWUI8P7h3Untiw%3D%3D&trk=public_jobs_topcard-title;Estágio Social Media;Amplifica Digital;https://br.linkedin.com/company/amplificadigital?trk=public_jobs_jserp-result_job-search-card-subtitle;presencial;Full-time;Internship;;05/06/2023;2023-09-16 09:23:18.704595;;;;https://jobs.quickin.io/amplificadigital/jobs/612802f995d8fd001aa67b5f?src=LinkedIn%20Limited%20Listings
